country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18M,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,3M,0,,,,,,,,,,,,8M,,,,,,,,,,2M,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,8M,,,,,,,,,14M,,,22M,1M,,,2M,,,,,28M,6M,32M,,,,,,,3M,11M,17M,3M,,34M,39M,3M,69M,106M,77M,135M,102M,104M,121M,135M,191M
Argentina,,,6M,,4M,,,0,8M,,0,,11M,,,,1M,,,8M,1M,27M,3M,1M,,,,4M,1M,,6M,0,,13M,5M,5M,,,,,2M,6M,2M,,,,2M,,,,,1M,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4M,,,,,,,,,,,,,,
Australia,,2M,4M,,,,,,,26M,17M,36M,6M,72M,92M,131M,113M,62M,21M,22M,15M,15M,24M,31M,62M,10M,57M,89M,18M,18M,168M,90M,,30M,36M,36M,16M,20M,4M,,,43M,47M,44M,2M,49M,22M,48M,48M,80M,115M,143M,45M,54M,97M,87M,134M,98M,38M,103M,396M
Austria,,,,,0,0,1M,1M,1M,1M,1M,1M,1M,1M,0,0,,,37M,126M,54M,70M,60M,56M,58M,248M,40M,30M,12M,12M,30M,20M,20M,10M,17M,,18M,1M,29M,23M,24M,17M,83M,3M,3M,4M,63M,101M,16M,46M,54M,56M,25M,30M,16M,10M,17M,22M,6M,3M,9M
Belgium,3M,0,2M,0,0,,12M,,,5M,,0,,,,,,,2M,3M,1M,19M,41M,89M,115M,3M,19M,,18M,36M,1M,1M,,,33M,158M,57M,93M,46M,45M,26M,37M,35M,15M,47M,159M,59M,19M,217M,243M,9M,116M,22M,55M,10M,12M,7M,17M,21M,53M,53M
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,2M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,4M,,,106M,,,5M,6M,42M,16M,28M,55M,1M,21M,6M,39M,167M,2M,10M,37M,44M,19M,86M,5M,9M,4M,16M,4M,2M,13M,21M,14M,70M,61M,31M,14M,10M,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4M,,,,,,,,,14M,,3M,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8M,,7M,129M,341M,63M,452M,293M,49M,63M,57M,19M,53M,43M,6M,224M,41M,159M,96M,97M,269M,101M,142M,152M,50M,79M,159M,23M
Brazil,2M,12M,,,,,,,,3M,,0,,,32M,58M,103M,144M,180M,71M,156M,64M,117M,196M,269M,203M,138M,215M,204M,53M,106M,127M,98M,40M,54M,38M,27M,27M,18M,,,,19M,,46M,1M,44M,53M,92M,43M,143M,31M,33M,31M,31M,52M,122M,37M,100M,10M,170M
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24M,,,,,12M,,,,
Canada,52M,314M,188M,213M,253M,111M,92M,58M,193M,163M,194M,291M,324M,125M,119M,129M,309M,160M,187M,186M,153M,124M,253M,112M,96M,94M,251M,265M,142M,43M,92M,110M,140M,145M,165M,259M,155M,93M,38M,77M,71M,121M,175M,278M,277M,235M,235M,332M,236M,183M,237M,317M,266M,183M,189M,337M,110M,70M,115M,211M,200M
Switzerland,442M,500M,530M,337M,379M,484M,367M,261M,91M,104M,18M,42M,34M,54M,89M,395M,480M,260M,196M,454M,492M,523M,409M,331M,528M,346M,345M,311M,370M,318M,467M,496M,451M,234M,176M,146M,196M,125M,214M,283M,188M,222M,178M,199M,272M,267M,311M,318M,473M,242M,264M,340M,242M,194M,343M,479M,215M,173M,240M,226M,179M
Chile,,,,,,,,,,,,,,,,0,,,0,,0,0,,1M,,,3M,3M,4M,4M,,3M,8M,,,,29M,,2M,1M,1M,,1M,,,,,,100M,,,,,,20M,,,,0,,
China,285M,35M,47M,12M,68M,387M,619M,412M,730M,657M,893M,1.29B,1.24B,662M,511M,668M,586M,230M,617M,560M,949M,642M,1.5B,1.77B,1.93B,1.27B,1.86B,2.6B,1.41B,1.04B,941M,1.31B,700M,1.44B,1.1B,1.01B,766M,427M,350M,329M,295M,513M,523M,698M,411M,285M,664M,510M,651M,1.14B,1.48B,1.27B,1.53B,2.07B,1.21B,1.78B,2.41B,1.44B,1.17B,1.47B,760M
