id,term,category,weight
683,ayam buah keluak,positive,0.664
2824,eyeglass candy,positive,0.663
342,ah pek ice cream,positive,0.662
2644,eh hiao cho lang,positive,0.662
9033,thoughtful,positive,0.662
956,berg,positive,0.661
40,accede,positive,0.66
42,accept alternative,positive,0.66
306,agreement,positive,0.66
431,also can,positive,0.66
549,approve substitute,positive,0.66
703,back up plan,positive,0.66
998,big breast,positive,0.66
1203,bosom,positive,0.66
2533,dua neh neh,positive,0.66
4989,lakso palembang,positive,0.66
7515,sago paste,positive,0.66
9616,voluptuous,positive,0.66
1892,cold dessert,positive,0.659
3937,iceball,positive,0.659
5880,multi-colored shaved ice,positive,0.659
1036,biskut piring,positive,0.658
9022,thin wafer,positive,0.658
1735,chinese rojak,positive,0.657
6638,peng you,positive,0.657
7228,recce,positive,0.657
7237,reconnaisance,positive,0.657
4218,jambu,positive,0.656
268,adventurer,positive,0.655
1501,celebpreneur,positive,0.655
1503,celebrity,positive,0.655
2727,entrepreneur,positive,0.655
3663,heart cair,positive,0.655
3933,ice kosong,positive,0.655
3939,iced water,positive,0.655
6042,neutral favor,positive,0.655
6830,plain,positive,0.655
1695,chilled,positive,0.654
1776,chow,positive,0.654
2245,depart,positive,0.654
2742,escape boredom,positive,0.654
2791,exit,positive,0.654
3043,fluffy,positive,0.654
3287,german brewery,positive,0.654
3362,go,positive,0.654
4882,kuih marmer,positive,0.654
5508,marble cake,positive,0.654
7268,refrigerated,positive,0.654
8190,soh si,positive,0.654
8936,tempat regular,positive,0.654
599,asian beverage,positive,0.653
3224,gamsahamida,positive,0.653
3470,grateful,positive,0.653
3680,hei bai,positive,0.653
8996,thank you,positive,0.653
1640,cheng hu kang,positive,0.652
1809,civil service,positive,0.652
1821,clean acoustic,positive,0.652
3412,good benefit,positive,0.652
3617,harmonizing voices,positive,0.652
3747,high salary,positive,0.652
3752,highly regarded,positive,0.652
5930,music genre,positive,0.652
6538,pappadum,positive,0.652
8008,singapore chinese,positive,0.652
8957,tepung,positive,0.652
9886,xinyao,positive,0.652
1738,chinese wedding,positive,0.651
2618,ee fu noodles,positive,0.651
4983,laksa sarawak,positive,0.651
8091,sliced chicken,positive,0.651
887,beef jerky,positive,0.65
2233,delicacy,positive,0.65
2242,dendeng,positive,0.65
3080,forest frog,positive,0.65
4447,karung guni,positive,0.65
5998,nasi paprik,positive,0.65
6792,pig ear biscuit,positive,0.65
7037,preserved dried meat,positive,0.65
7212,rare meat,positive,0.65
8157,snow frog,positive,0.65
9024,thinly sliced,positive,0.65
45,accessible,positive,0.649
1669,chicken floss prata,positive,0.649
3059,food truck,positive,0.649
5724,milo sio,positive,0.649
6076,ninja van,positive,0.649
7023,precision,positive,0.649
7766,sell refreshment,positive,0.649
8081,slap hand,positive,0.649
9207,training ground,positive,0.649
9304,two player,positive,0.649
9952,yue bing,positive,0.649
55,accurate,positive,0.648
552,arab cuisine,positive,0.648
1844,close shave,positive,0.648
2125,curry powder,positive,0.648
4328,just nice,positive,0.648
4329,just right,positive,0.648
5821,mommom eyeglass,positive,0.648
5982,nasi bukhari,positive,0.648
6175,nua,positive,0.648
7022,precise,positive,0.648
7282,relak,positive,0.648
9526,unwind,positive,0.648
5414,make love,positive,0.647
7181,rabak rabak,positive,0.647
7820,sex,positive,0.647
8928,telinga gajah,positive,0.647
4069,indian kuih,positive,0.646
5128,less pungent,positive,0.646
5720,milo halia,positive,0.646
23,abide law,positive,0.645
426,allowed,positive,0.645
654,authorized,positive,0.645
1896,collect recyclables,positive,0.645
2149,da jia hao,positive,0.645
2319,diligent,positive,0.645
2580,earnest living,positive,0.645
3448,got license,positive,0.645
3610,hardworking,positive,0.645
4448,karung guni man,positive,0.645
4842,kuih batang buruk,positive,0.645
5096,legalized,positive,0.645
5455,malted drink,positive,0.645
5573,maximum power,positive,0.645
5661,mentally strong,positive,0.645
5712,milk powder,positive,0.645
6574,patient,positive,0.645
6737,permitted,positive,0.645
6896,polo sweet,positive,0.645
6985,power to the kidugaan,positive,0.645
7120,pulut inti,positive,0.645
7190,rag-and-bone man,positive,0.645
8506,strong-hearted,positive,0.645
8677,tabah hati,positive,0.645
1443,cantik,positive,0.644
1446,capable,positive,0.644
1450,career woman,positive,0.644
2774,exceptional,positive,0.644
2994,fishball,positive,0.644
3041,flower-shaped,positive,0.644
3144,friendly gesture,positive,0.644
4175,invitation,positive,0.644
4240,jemput,positive,0.644
4840,kuih bakar,positive,0.644
6174,nu qiang ren,positive,0.644
8266,spherical shape,positive,0.644
8505,strong,positive,0.644
9654,warm welcome,positive,0.644
9921,yong tau fu,positive,0.644
1830,climb bukit timah,positive,0.643
3376,go well,positive,0.643
8135,smooth,positive,0.643
8212,soon li,positive,0.643
8473,straightforward,positive,0.643
9241,trouble free,positive,0.643
4501,kek lapis,positive,0.642
595,asam masam,positive,0.641
919,beh yau kin,positive,0.641
1280,brown fruit,positive,0.641
1288,buah duku,positive,0.641
7435,roller coaster,positive,0.641
7460,round,positive,0.641
5338,maapillai,positive,0.64
5565,mate,positive,0.64
965,best,positive,0.639
977,beyond comparison,positive,0.639
1724,chinese kale,positive,0.639
3228,gan bei,positive,0.639
4346,kai lan,positive,0.639
4774,kopi cino,positive,0.639
4783,kopi o,positive,0.639
4836,kuih ambon,positive,0.639
6104,no horse run,positive,0.639
7654,scissors paper stone,positive,0.639
9305,two players,positive,0.639
9483,unrivalled,positive,0.639
9799,without milk,positive,0.639
9842,wowie,positive,0.639
1037,biskut semperit,positive,0.638
1163,body-hugging clothes,positive,0.638
2773,excellent,positive,0.638
2970,financially secure,positive,0.638
4862,kuih jongkong,positive,0.638
5136,li hai,positive,0.638
5470,mampat,positive,0.638
7386,rice flour,positive,0.638
7457,rou gan,positive,0.638
8919,teh poh,positive,0.638
9026,thinner tea,positive,0.638
9862,wu lui,positive,0.638
9972,zai,positive,0.638
1334,bubble tea,positive,0.637
3222,gamsahae,positive,0.637
5696,mid-autumn festival,positive,0.637
1583,cheap,positive,0.636
3458,grab opportunity,positive,0.636
3642,hawker centre,positive,0.636
4256,ji wei fan,positive,0.636
4724,kio tio,positive,0.636
7076,prosperous,positive,0.636
8944,tender meat,positive,0.636
9767,white meat,positive,0.636
395,aiskrim ah pek,positive,0.635
423,all right,positive,0.635
581,articulate,positive,0.635
1930,completed,positive,0.635
2725,enthusiastic,positive,0.635
3785,ho say,positive,0.635
3964,ikan kuning,positive,0.635
4730,kiut,positive,0.635
5130,let go,positive,0.635
6504,pang chiu,positive,0.635
6829,pizza prata,positive,0.635
7610,satisfaction,positive,0.635
7726,sek,positive,0.635
8255,speaking siak,positive,0.635
9713,well spoken,positive,0.635
9975,zao hor,positive,0.635
2147,da fei gei,positive,0.634
3006,flaky skin,positive,0.634
3826,hor fun,positive,0.634
4859,kuih ee,positive,0.634
4935,la piah,positive,0.634
5637,melon seed,positive,0.634
7802,sesame,positive,0.634
324,ah kah liau,positive,0.633
2475,dough strip,positive,0.633
